,Anime_Name,Anime_img_url,Sub_Dub
114,Tomb of Fallen Gods,https://img.zorores.com/_r/300x400/100/10/3f/103f0dd4cc78c03c304be09521864902/103f0dd4cc78c03c304be09521864902.jpg,['SUB']
115,Drifting Home,https://img.zorores.com/_r/300x400/100/60/26/60260e6b74bf15e08cbfa737052cebba/60260e6b74bf15e08cbfa737052cebba.jpg,"['SUB', 'DUB']"
116,"BASTARD!! Heavy Metal, Dark Fantasy Part 2",https://img.zorores.com/_r/300x400/100/45/78/4578bdceff57e5691e46cecd6fd32f64/4578bdceff57e5691e46cecd6fd32f64.jpg,"['SUB', 'DUB']"
117,The Tatami Time Machine Blues,https://img.zorores.com/_r/300x400/100/21/7c/217c47f326e0538f783533a738e87e27/217c47f326e0538f783533a738e87e27.jpg,['SUB']
118,Please Take My Brother Away 5,https://img.zorores.com/_r/300x400/100/92/55/9255afe688a7b8c1ae451ee1ccdb5be3/9255afe688a7b8c1ae451ee1ccdb5be3.jpg,['SUB']
119,The Missing 8,https://img.zorores.com/_r/300x400/100/17/5b/175b13ee05f6e1366a9866baa5100905/175b13ee05f6e1366a9866baa5100905.png,['SUB']
120,"I, Tsushima (ONA)",https://img.zorores.com/_r/300x400/100/3f/0a/3f0aaf8cdd85aadf303bf25025d1284c/3f0aaf8cdd85aadf303bf25025d1284c.jpg,['SUB']
121,Fairy Mountain,https://img.zorores.com/_r/300x400/100/f6/7b/f67b46e0eabbd2039277b5cf8a37c0aa/f67b46e0eabbd2039277b5cf8a37c0aa.jpg,['SUB']
122,Perman (1983),https://img.zorores.com/_r/300x400/100/ea/29/ea29478b5f4562aaa7462549fe9cd0a7/ea29478b5f4562aaa7462549fe9cd0a7.jpg,['SUB']
123,Tekken: Bloodline,https://img.zorores.com/_r/300x400/100/8d/5e/8d5ed00778e65afde4d7b8f31c2a5a84/8d5ed00778e65afde4d7b8f31c2a5a84.jpg,"['SUB', 'DUB']"
124,Luminous Witches Recap,https://img.zorores.com/_r/300x400/100/9e/24/9e24361c3680a38a9ed2537ee17bd59d/9e24361c3680a38a9ed2537ee17bd59d.jpg,['SUB']
125,Jade Dynasty,https://img.zorores.com/_r/300x400/100/29/57/295784fa5c24011005d213c027a7ce48/295784fa5c24011005d213c027a7ce48.jpg,['SUB']
126,A World Worth Protecting,https://img.zorores.com/_r/300x400/100/5a/67/5a674cc92d332039ac34ec36547c182b/5a674cc92d332039ac34ec36547c182b.jpg,['SUB']
127,Doomsday with My Dog,https://img.zorores.com/_r/300x400/100/96/46/9646a4727feab0506e580f54391f01fa/9646a4727feab0506e580f54391f01fa.jpg,['SUB']
128,My Hero Academia ONA,https://img.zorores.com/_r/300x400/100/dd/05/dd05c8c5b679ade2100781114e974160/dd05c8c5b679ade2100781114e974160.jpg,"['SUB', 'DUB']"
